"focal_trial","studyDbId","name","location","year","program","isFocal","nb_genos","prop_geno","best_protocol","best_protocol_id","best_project","best_project_id","vcf_file_name","out_file","downloaded"
10927,"LgI_Urb_23","Urbana","IL",2023,"University of Illinois",FALSE,46,97.8260869565217,"GBS UIUC 2024 V2","305","UIUC_2024_GBS_V2","11054","2026-01-12_15:02:24_file7kBP","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10927_prot_305_proj_11054_2026-01-12_15:02:24_file7kBP.vcf.gz",TRUE
10778,"MI_Urb_22","Urbana","IL",2022,"University of Illinois",FALSE,128,97.65625,"GBS UIUC 2024 V2","305","UIUC_2024_GBS_V2","11054","2026-01-12_15:02:24_file7kBP","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10778_prot_305_proj_11054_2026-01-12_15:02:24_file7kBP.vcf.gz",TRUE
10950,"MI_Urb_23","Urbana","IL",2023,"University of Illinois",FALSE,134,44.0298507462687,"GBS UIUC 2024 V2","305","UIUC_2024_GBS_V2","11054","2026-01-12_15:02:24_file7kBP","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10950_prot_305_proj_11054_2026-01-12_15:02:24_file7kBP.vcf.gz",TRUE
10957,"OVT_Urb_23","Urbana","IL",2023,"University of Illinois",FALSE,74,6.75675675675676,"GBS UIUC 2024","302","UIUC_2024_GBS","11051","2025-12-16_16:41:37_fileRdiA","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10957_prot_302_proj_11051_2025-12-16_16:41:37_fileRdiA.vcf.gz",TRUE
10826,"SI_Urb_22","Urbana","IL",2022,"University of Illinois",FALSE,1428,84.2436974789916,"GBS UIUC 2024","302","UIUC_2024_GBS","11051","2025-12-16_16:41:37_fileRdiA","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10826_prot_302_proj_11051_2025-12-16_16:41:37_fileRdiA.vcf.gz",TRUE
10944,"SI_Urb_23","Urbana","IL",2023,"University of Illinois",FALSE,1536,93.5546875,"GBS UIUC 2024","302","UIUC_2024_GBS","11051","2025-12-16_16:41:37_fileRdiA","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10944_prot_302_proj_11051_2025-12-16_16:41:37_fileRdiA.vcf.gz",TRUE
7728,"UIL-WHEAT-2011-URBANA","Urbana","IL",2011,"University of Illinois",FALSE,63,4.76190476190476,"GBS PstI-MspI, OSU","74","OH12-17p2","8131","2020-07-10_16:41:25_OH12-17p2_new.vcf","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_7728_prot_74_proj_8131_2020-07-10_16:41:25_OH12-17p2_new.vcf.vcf.gz",TRUE
7217,"UIL-WHEAT-2014-URBANA","Urbana","IL",2014,"University of Illinois",FALSE,60,3.33333333333333,"GBS PstI-MspI, OSU","74","OH12-17p2","8131","2020-07-10_16:41:25_OH12-17p2_new.vcf","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_7217_prot_74_proj_8131_2020-07-10_16:41:25_OH12-17p2_new.vcf.vcf.gz",TRUE
7586,"UIL-WHEAT-2015-URBANA","Urbana","IL",2015,"University of Illinois",FALSE,79,2.53164556962025,"GBS PstI-MspI, OSU","74","OH12-17p2","8131","2020-07-10_16:41:25_OH12-17p2_new.vcf","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_7586_prot_74_proj_8131_2020-07-10_16:41:25_OH12-17p2_new.vcf.vcf.gz",TRUE
6519,"UIL-WHEAT-2016-URBANA","Urbana","IL",2016,"University of Illinois",FALSE,79,2.53164556962025,"GBS PstI-MspI, OSU","74","OH12-17p2","8131","2020-07-10_16:41:25_OH12-17p2_new.vcf","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_6519_prot_74_proj_8131_2020-07-10_16:41:25_OH12-17p2_new.vcf.vcf.gz",TRUE
7833,"UIL-WHEAT-2017-URBANA","Urbana","IL",2017,"University of Illinois",FALSE,54,3.7037037037037,"GBS PstI-MspI, OSU","74","OH12-17p2","8131","2020-07-10_16:41:25_OH12-17p2_new.vcf","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_7833_prot_74_proj_8131_2020-07-10_16:41:25_OH12-17p2_new.vcf.vcf.gz",TRUE
7633,"UIL-WHEAT-2018-URBANA","Urbana","IL",2018,"University of Illinois",FALSE,51,1.96078431372549,"GBS PstI-MspI, OSU","74","OH12-17p1","8130","2020-07-10_15:33:01_OH12-17p1_new.vcf","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_7633_prot_74_proj_8130_2020-07-10_15:33:01_OH12-17p1_new.vcf.vcf.gz",TRUE
10791,"VT_SBMV_22","Urbana","IL",2022,"University of Illinois",FALSE,92,7.60869565217391,"GBS UIUC 2024 V2","305","UIUC_2024_GBS_V2","11054","2026-01-12_15:02:24_file7kBP","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_10791_prot_305_proj_11054_2026-01-12_15:02:24_file7kBP.vcf.gz",TRUE
11017,"VT_SBMV_23","Urbana","IL",2023,"University of Illinois",FALSE,93,4.3010752688172,"GBS UIUC 2024","302","UIUC_2024_GBS","11051","2025-12-16_16:41:37_fileRdiA","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_11017_prot_302_proj_11051_2025-12-16_16:41:37_fileRdiA.vcf.gz",TRUE
11018,"VT_Scb_23","Urbana","IL",2023,"University of Illinois",FALSE,92,4.34782608695652,"GBS UIUC 2024","302","UIUC_2024_GBS","11051","2025-12-16_16:41:37_fileRdiA","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/YT_Urb_25/nonFocal/university_of_illinois/trial_11018_prot_302_proj_11051_2025-12-16_16:41:37_fileRdiA.vcf.gz",TRUE
